property_id,location,size_sqft,num_rooms,age_years,condition,proximity_to_amenities_km,sale_price_usd
1,North Judithbury,1412,5,64,Poor,5.24,1495137
2,East Jill,704,1,47,Good,1.89,1361159
3,New Roberttown,2753,5,1,Good,5.07,1067306
4,East Jessetown,2506,1,40,Good,9.22,1778313
5,Lake Debra,2328,6,17,Fair,0.19,812054
6,Robinsonshire,1643,3,98,Excellent,2.0,957895
7,Lisatown,1339,8,73,Fair,3.82,1917981
8,Lake Roberto,4967,8,31,Good,0.3,724633
9,Ericmouth,1212,1,42,Poor,4.08,928674
10,North Noahstad,3956,4,32,Good,0.12,1621528
11,Cassandraton,760,6,15,Excellent,4.74,1889695
12,Herrerafurt,744,5,2,Excellent,5.42,1731290
13,New Kellystad,1267,8,58,Fair,6.63,184562
14,Lake Chad,2291,7,28,Excellent,4.0,184197
15,Port Keith,2405,7,57,Excellent,1.56,1149921
16,Port Jesseville,4639,4,100,Fair,2.58,324978
17,Ramirezstad,717,1,19,Poor,6.99,1015658
18,West Michael,2128,8,6,Fair,6.25,1662322
19,Jacquelineland,4964,8,67,Good,0.2,951700
20,New Jessica,3936,10,65,Poor,1.32,1736303
21,South Noah,2305,10,16,Fair,3.41,942080
22,Lake Mark,4179,8,23,Poor,8.24,1168255
23,East Lydiamouth,2778,6,45,Fair,3.68,878674
24,Adamsborough,553,2,57,Good,9.28,855092
25,Jasonfort,1807,1,33,Poor,1.66,816816
26,Wilkersonmouth,3962,10,49,Poor,7.66,738655
27,West Donald,3287,1,40,Good,0.34,1288191
28,Juliechester,2776,7,82,Excellent,9.05,322096
29,Coxberg,1773,6,35,Excellent,9.94,873927
30,Daviston,2263,2,81,Good,7.61,1182844
31,East Courtneychester,3257,10,32,Fair,6.68,593159
32,South Patrickmouth,1337,5,67,Poor,8.21,875650
33,Tashatown,1259,1,5,Fair,9.09,1666002
34,Lake Nicoleview,3612,8,55,Good,4.0,1825352
35,Danielchester,1292,3,25,Excellent,1.45,717842
36,South Aaron,3440,4,83,Good,5.58,1646050
37,Teresaburgh,3317,5,33,Good,5.02,1352214
38,Port Colleenhaven,2666,7,37,Poor,5.5,1080068
39,East Nathaniel,855,2,95,Excellent,0.23,172905
40,New Stephanie,4263,6,50,Fair,8.07,942514
41,New Mariotown,4892,1,65,Fair,1.38,1674926
42,West Natashaport,1522,5,5,Poor,1.87,672447
43,North John,3600,2,20,Fair,4.9,386812
44,North Jessicaland,1145,2,30,Poor,9.8,1189782
45,East Donna,2901,8,37,Poor,1.72,911874
46,West Allison,3462,1,3,Poor,9.79,1957061
47,Brandtside,2075,9,62,Fair,2.86,876995
48,Lake Larry,1069,3,2,Excellent,1.58,1495852
49,Samuelhaven,875,10,23,Excellent,1.96,1651378
50,Martinezbury,2366,3,52,Poor,6.53,1978540
51,West Andrewside,2870,3,82,Excellent,4.11,1811933
52,New Jeffrey,1153,1,56,Poor,3.07,425543
53,Lake Crystalbury,2407,10,92,Good,5.92,1528439
54,North Micheleland,1327,3,17,Excellent,4.94,534500
55,West Elizabeth,3613,6,97,Excellent,7.25,1430144
56,New David,2777,2,84,Good,2.32,1020480
57,Sanchezfort,4214,4,54,Excellent,8.29,732766
58,Leeville,3488,10,5,Excellent,4.92,970418
59,Gomezchester,1832,1,13,Excellent,0.84,1734060
60,Shieldston,3532,1,64,Poor,8.82,774735
61,North Richardmouth,3410,3,68,Fair,5.96,759709
62,East Jamesside,2216,10,97,Poor,4.88,1649145
63,Taylorburgh,2687,6,1,Poor,1.61,1953691
64,Stevenland,1084,1,30,Poor,4.92,1188921
65,Mortonside,1901,2,67,Good,5.15,380887
66,North Deniseside,4875,2,14,Poor,8.26,1810951
67,North Sarabury,2505,5,37,Good,6.06,894081
68,South Todd,1838,8,40,Poor,7.68,1764477
69,Port Richard,4286,5,79,Fair,9.89,1405478
70,East Nicholasfurt,3608,8,1,Excellent,7.18,333067
71,Saramouth,2711,3,77,Poor,2.14,1142431
72,Rodneyside,2299,10,63,Fair,8.1,948557
73,Mooreport,3156,10,1,Excellent,9.35,497974
74,North Beth,958,1,58,Fair,7.73,1218448
75,Lake Leeton,2376,6,80,Excellent,2.28,1672372
76,Shawhaven,762,6,67,Good,7.45,1556510
77,North Susan,3084,6,18,Excellent,5.74,577969
78,Port Jacobland,3786,3,37,Poor,4.44,1050758
79,South David,2693,4,95,Fair,8.42,407980
80,New Brooke,1042,8,70,Poor,9.57,1080277
81,South Dianeshire,2228,9,88,Excellent,9.01,1950388
82,Sarahborough,3077,4,10,Fair,1.43,586396
83,Johnfurt,2241,10,37,Fair,6.3,407526
84,Lake Debbie,4589,1,73,Excellent,7.11,1056587
85,Stewartland,3741,5,37,Excellent,3.77,291935
